gene	selection_reasons	discovery_priority_score	broad_positive_disease_count	broad_negative_disease_count	broad_ms_positive_nominal	ms_wm_delta_log2	ms_wm_p	in_lipid_lysosomal_myeloid_neighborhood	raw_positive_analysis_count	raw_positive_disease_count	raw_negative_analysis_count	retained_positive_analysis_count	retained_positive_disease_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	raw_positive_analyses	top_retained_tests	residual_gate_priority_score
TYK2	mechanistic_scout	8.0	2.0	0.0	False	-0.0976695299908261	0.5321339034622258	False	1	1	0	1	1	1	1	0	0		psoriasis_skin_apc:0.576,p=0.05	psoriasis_skin_apc|complement_phagocytosis:0.576,p=0.0038;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.572,p=0.007;psoriasis_skin_apc|lipid_loader_repair:0.474,p=0.009;psoriasis_skin_apc|mif_cd74_receptor_state:0.488,p=0.029;psoriasis_skin_apc|lysosomal_apc:0.581,p=0.046	3
CD300LF	mechanistic_scout	4.0	1.0	0.0	False	-0.0991212524448474	0.7089814372180329	False	1	1	0	1	1	1	1	0	0		psoriasis_skin_apc:0.514,p=0.0062	psoriasis_skin_apc|c1q_phagocytic_myeloid:0.515,p=0.0008;psoriasis_skin_apc|complement_phagocytosis:0.514,p=0.0012;psoriasis_skin_apc|hif_nampt_metabolic:0.466,p=0.011;psoriasis_skin_apc|lipid_loader_repair:0.498,p=0.022;psoriasis_skin_apc|mif_cd74_receptor_state:0.493,p=0.024;psoriasis_skin_apc|lysosomal_apc:0.362,p=0.037	3
CTSS	mechanistic_scout	6.5	1.0	0.0	False	0.189873422640673	0.1407159118865243	True	2	2	0	2	2	0	0	0	0		ibd_uc_myeloid:0.584,p=0.0018;ibd_crohn_myeloid:0.374,p=0.018	ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.444,p=0.00022;ibd_crohn_myeloid|complement_phagocytosis:0.45,p=0.00049;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.551,p=0.0052;ibd_crohn_myeloid|hla_ii_apc:0.289,p=0.0052;ibd_uc_myeloid|lipid_loader_repair:0.313,p=0.011;ibd_crohn_myeloid|complement_effector:0.233,p=0.012;ibd_uc_myeloid|hla_ii_apc:0.395,p=0.018;ibd_uc_myeloid|complement_phagocytosis:0.481,p=0.021	3
SEL1L3	ms_positive_three_disease;top_rank	21.0	3.0	0.0	True	0.922501683138024	0.0181382735511015	False	1	1	0	1	1	0	0	0	0		ibd_uc_stromal:0.282,p=0.035	ibd_uc_stromal|lysosomal_apc:0.327,p=0.0051;ibd_uc_stromal|complement_effector:0.288,p=0.011;ibd_uc_stromal|core_lysosomal_lipid:0.254,p=0.022;ibd_uc_stromal|hla_ii_apc:0.255,p=0.026;ibd_uc_stromal|ifn_apc:0.287,p=0.029	3
CXCL9	mechanistic_scout;ms_positive_three_disease;top_rank	19.0	3.0	0.0	True	2.5544176187121583	0.0309913568123503	False	1	1	0	1	1	0	0	0	0		ibd_crohn_myeloid:0.586,p=0.034	ibd_crohn_myeloid|inflammatory_nfkb:0.63,p=0.019;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.606,p=0.027;ibd_crohn_myeloid|lipid_loader_repair:0.604,p=0.027;ibd_crohn_myeloid|hla_ii_apc:0.466,p=0.029;ibd_crohn_myeloid|complement_phagocytosis:0.58,p=0.036;ibd_crohn_myeloid|hif_nampt_metabolic:0.558,p=0.045	3
CDV3	top_rank	17.166595659631525	2.0	0.0	True	0.225039193551547	0.0365906398331607	False	1	1	0	1	1	0	0	0	0		ibd_uc_epithelial:0.363,p=0.017	ibd_uc_epithelial|lysosomal_apc:0.349,p=0.015;ibd_uc_epithelial|complement_phagocytosis:0.363,p=0.018;ibd_uc_epithelial|lipid_loader_repair:0.355,p=0.021;ibd_uc_epithelial|complement_effector:0.328,p=0.035;ibd_uc_epithelial|core_lysosomal_lipid:0.295,p=0.036;ibd_uc_epithelial|mixscale_validated_ifng_readout:0.32,p=0.037	3
CD300F	mechanistic_scout				True			True	0	0	0	0	0	0	0	0	0				3
PKM	four_disease_low_contradiction;top_rank	21.086432998512233	4.0	0.0	False	0.2079528837975353	0.3934173353018323	False	4	3	0	2	2	0	0	0	0		ibd_uc_epithelial:0.487,p=0.0005;ibd_crohn_epithelial:0.263,p=0.023;psoriasis_keratinocyte:0.536,p=0.026;ibd_uc_myeloid:0.362,p=0.038	ibd_uc_epithelial|complement_phagocytosis:0.479,p=0.00078;ibd_uc_epithelial|lysosomal_apc:0.476,p=0.001;ibd_uc_epithelial|lipid_loader_repair:0.454,p=0.0021;ibd_uc_epithelial|core_lysosomal_lipid:0.396,p=0.0071;ibd_uc_epithelial|mixscale_validated_ifng_readout:0.298,p=0.018;ibd_crohn_epithelial|complement_phagocytosis:0.244,p=0.03;ibd_uc_epithelial|c1q_phagocytic_myeloid:0.323,p=0.036;ibd_uc_epithelial|complement_effector:0.297,p=0.04	2
EEF1E1	five_disease;four_disease_low_contradiction;top_rank	24.0	5.0	0.0	False	-1.1784102252943471	0.2145941794042359	False	2	2	0	2	2	0	0	0	0		ibd_crohn_stromal:0.233,p=0.013;ibd_uc_stromal:0.346,p=0.015	ibd_crohn_stromal|complement_effector:0.249,p=0.00093;ibd_uc_stromal|complement_effector:0.352,p=0.0012;ibd_uc_stromal|lysosomal_apc:0.368,p=0.0047;ibd_crohn_stromal|lysosomal_apc:0.217,p=0.0065;ibd_crohn_stromal|ifn_apc:0.241,p=0.0082;ibd_uc_stromal|hla_ii_apc:0.328,p=0.013;ibd_uc_stromal|core_lysosomal_lipid:0.318,p=0.013;ibd_uc_stromal|ifn_apc:0.347,p=0.014	2
CARD16	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	23.0	5.0	0.0	False	0.427054014710313	0.494819097605486	False	2	2	0	2	2	0	0	0	0		ibd_uc_myeloid:0.743,p=0.0006;ibd_crohn_myeloid:0.67,p=0.0039	ibd_crohn_myeloid|hla_ii_apc:0.66,p=0.0052;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.604,p=0.0079;ibd_uc_myeloid|hla_ii_apc:0.558,p=0.0079;ibd_crohn_myeloid|complement_effector:0.604,p=0.011;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.589,p=0.011;ibd_crohn_myeloid|lipid_loader_repair:0.553,p=0.012;ibd_uc_myeloid|lipid_loader_repair:0.522,p=0.015;ibd_crohn_myeloid|complement_phagocytosis:0.552,p=0.015	2
S100A11	four_disease_low_contradiction;top_rank	20.28433859430869	4.0	0.0	False	0.1429402669372077	0.5904902998605951	False	4	2	0	4	2	0	0	0	0		ibd_uc_epithelial:0.878,p=0.00012;ibd_uc_myeloid:0.524,p=0.0079;ibd_uc_stromal:0.403,p=0.011;ibd_crohn_myeloid:0.389,p=0.022	ibd_uc_epithelial|lysosomal_apc:0.865,p=0.00021;ibd_uc_epithelial|complement_phagocytosis:0.866,p=0.00023;ibd_uc_epithelial|lipid_loader_repair:0.801,p=0.0012;ibd_uc_epithelial|core_lysosomal_lipid:0.715,p=0.0036;ibd_uc_stromal|ifn_apc:0.413,p=0.0063;ibd_uc_stromal|complement_effector:0.405,p=0.01;ibd_uc_epithelial|mixscale_validated_ifng_readout:0.534,p=0.012;ibd_uc_stromal|hla_ii_apc:0.388,p=0.014	2
MOB3B	four_disease_low_contradiction;top_rank	20.0	4.0	0.0	False	0.0276495030161427	0.9558863220247624	False	2	2	0	2	2	0	0	0	0		ibd_uc_myeloid:0.73,p=0.0041;ibd_crohn_myeloid:0.463,p=0.031	ibd_uc_myeloid|hla_ii_apc:0.571,p=0.0095;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.559,p=0.011;ibd_uc_myeloid|lipid_loader_repair:0.442,p=0.012;ibd_uc_myeloid|complement_phagocytosis:0.455,p=0.032;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.384,p=0.04;ibd_crohn_myeloid|hla_ii_apc:0.431,p=0.042;ibd_crohn_myeloid|lipid_loader_repair:0.427,p=0.05	2
SAA2	four_disease_low_contradiction;top_rank	18.0	4.0	0.0	False	0.0900059811430504	0.9283295010838492	False	2	2	0	2	2	0	0	0	0		ibd_crohn_epithelial:0.252,p=0.017;ibd_uc_epithelial:2.71,p=0.028	ibd_uc_epithelial|complement_phagocytosis:2.54,p=0.00089;ibd_uc_epithelial|lysosomal_apc:2.59,p=0.015;ibd_crohn_epithelial|complement_phagocytosis:0.249,p=0.018;ibd_crohn_epithelial|lysosomal_apc:0.23,p=0.023;ibd_uc_epithelial|lipid_loader_repair:2.48,p=0.044	2
SH3GLB1	four_disease_low_contradiction;top_rank	17.093451097873736	4.0	0.0	False	0.121922219674655	0.2538318604382732	False	3	2	0	3	2	0	0	0	0		ibd_uc_stromal:0.336,p=0.0072;ibd_crohn_stromal:0.498,p=0.019;ibd_crohn_myeloid:0.242,p=0.023	ibd_uc_stromal|lysosomal_apc:0.355,p=0.003;ibd_crohn_myeloid|hla_ii_apc:0.266,p=0.0055;ibd_uc_stromal|complement_effector:0.335,p=0.0072;ibd_uc_stromal|ifn_apc:0.335,p=0.0074;ibd_uc_stromal|hla_ii_apc:0.312,p=0.0093;ibd_crohn_stromal|complement_effector:0.515,p=0.011;ibd_crohn_stromal|ifn_apc:0.524,p=0.011;ibd_crohn_stromal|inflammatory_nfkb:0.325,p=0.012	2
KYNU	four_disease_low_contradiction;top_rank	17.0	4.0	1.0	False	-0.0567426647334272	0.8832960580858076	False	3	2	0	3	2	0	0	0	0		ibd_uc_myeloid:1.39,p=0.0078;ibd_crohn_myeloid:0.722,p=0.018;ibd_uc_epithelial:0.608,p=0.03	ibd_uc_myeloid|hla_ii_apc:1.08,p=0.017;ibd_uc_myeloid|c1q_phagocytic_myeloid:1.04,p=0.02;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.611,p=0.023;ibd_uc_epithelial|lipid_loader_repair:0.628,p=0.023;ibd_crohn_myeloid|hla_ii_apc:0.677,p=0.025;ibd_uc_myeloid|lipid_loader_repair:0.884,p=0.026;ibd_crohn_myeloid|complement_effector:0.563,p=0.029;ibd_uc_epithelial|core_lysosomal_lipid:0.603,p=0.03	2
MYD88	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	-0.389201776886912	0.0319927545594391	False	2	2	0	2	2	0	0	0	0		ibd_uc_myeloid:0.679,p=0.0013;ibd_crohn_myeloid:0.457,p=0.0039	ibd_crohn_myeloid|hla_ii_apc:0.418,p=0.0035;ibd_uc_myeloid|hla_ii_apc:0.593,p=0.0035;ibd_crohn_myeloid|complement_effector:0.383,p=0.0052;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.485,p=0.0061;ibd_crohn_myeloid|lipid_loader_repair:0.433,p=0.0065;ibd_uc_myeloid|lipid_loader_repair:0.479,p=0.0069;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.397,p=0.0071;ibd_crohn_myeloid|core_lysosomal_lipid:0.312,p=0.01	2
IFI16	four_disease_low_contradiction	16.0857794323091	4.0	0.0	False	-0.1455706960923652	0.4127338050377425	False	3	2	0	2	2	0	0	0	0		ibd_crohn_myeloid:0.292,p=0.0077;ibd_crohn_epithelial:0.22,p=0.012;ibd_uc_epithelial:0.511,p=0.049	ibd_crohn_myeloid|core_lysosomal_lipid:0.211,p=0.0039;ibd_crohn_myeloid|hla_ii_apc:0.296,p=0.0056;ibd_crohn_myeloid|lipid_loader_repair:0.202,p=0.0069;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.28,p=0.0097;ibd_crohn_myeloid|complement_phagocytosis:0.257,p=0.016;ibd_crohn_myeloid|complement_effector:0.27,p=0.019;ibd_crohn_myeloid|mif_cd74_receptor_state:0.258,p=0.025;ibd_uc_epithelial|lipid_loader_repair:0.518,p=0.045	2
ITGA2	four_disease_low_contradiction	16.006380452961782	4.0	0.0	False	-0.5077457401179997	0.1447926777202628	False	2	2	0	2	2	0	0	0	0		ibd_uc_epithelial:0.348,p=0.017;ibd_crohn_stromal:0.239,p=0.042	ibd_uc_epithelial|lipid_loader_repair:0.358,p=0.013;ibd_uc_epithelial|complement_phagocytosis:0.339,p=0.015;ibd_uc_epithelial|lysosomal_apc:0.339,p=0.016;ibd_uc_epithelial|core_lysosomal_lipid:0.325,p=0.022;ibd_crohn_stromal|lysosomal_apc:0.244,p=0.037;ibd_crohn_stromal|complement_effector:0.242,p=0.038;ibd_crohn_stromal|ifn_apc:0.241,p=0.04	2
MTF1	four_disease_low_contradiction	16.0	4.0	0.0	False	0.2966006148315276	0.1717854355945038	False	2	2	0	2	2	0	0	0	0		ibd_crohn_myeloid:0.62,p=0.0098;ibd_uc_myeloid:0.826,p=0.023	ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.513,p=0.0085;ibd_crohn_myeloid|hla_ii_apc:0.621,p=0.0097;ibd_crohn_myeloid|lipid_loader_repair:0.512,p=0.017;ibd_crohn_myeloid|complement_effector:0.54,p=0.018;ibd_crohn_myeloid|complement_phagocytosis:0.458,p=0.019;ibd_crohn_myeloid|mif_cd74_receptor_state:0.522,p=0.026;ibd_crohn_myeloid|core_lysosomal_lipid:0.436,p=0.033;ibd_crohn_myeloid|lysosomal_apc:0.438,p=0.036	2
LAMB3	four_disease_low_contradiction	16.0	4.0	0.0	False	-0.2487970571570184	0.8485205641188109	False	2	2	0	2	2	0	0	0	0		ibd_crohn_myeloid:0.347,p=0.0083;ibd_uc_myeloid:0.712,p=0.014	ibd_crohn_myeloid|hla_ii_apc:0.341,p=0.01;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.292,p=0.013;ibd_crohn_myeloid|complement_effector:0.288,p=0.018;ibd_crohn_myeloid|lipid_loader_repair:0.287,p=0.022;ibd_crohn_myeloid|complement_phagocytosis:0.26,p=0.026;ibd_crohn_myeloid|mif_cd74_receptor_state:0.285,p=0.028;ibd_uc_myeloid|hla_ii_apc:0.613,p=0.028;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.519,p=0.038	2
HLA-DMB	four_disease_low_contradiction	16.0	4.0	0.0	False	0.1259803949746825	0.6648851015588776	False	2	2	0	2	2	0	0	0	0		ibd_uc_epithelial:0.25,p=0.026;ibd_crohn_stromal:0.212,p=0.027	ibd_uc_epithelial|lysosomal_apc:0.267,p=0.003;ibd_crohn_stromal|c1q_phagocytic_myeloid:0.235,p=0.0079;ibd_crohn_stromal|lysosomal_apc:0.222,p=0.013;ibd_uc_epithelial|complement_phagocytosis:0.257,p=0.015;ibd_crohn_stromal|inflammatory_nfkb:0.221,p=0.02;ibd_crohn_stromal|hif_nampt_metabolic:0.214,p=0.026	2
CSTA	four_disease_low_contradiction	16.0	4.0	0.0	False	-0.6468373545907893	0.4000386986563147	False	2	2	0	2	2	0	0	0	0		ibd_uc_myeloid:0.775,p=0.0015;ibd_crohn_myeloid:0.458,p=0.0035	ibd_crohn_myeloid|hla_ii_apc:0.404,p=0.0047;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.438,p=0.0064;ibd_crohn_myeloid|lipid_loader_repair:0.429,p=0.0072;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.639,p=0.0092;ibd_uc_myeloid|hla_ii_apc:0.562,p=0.0096;ibd_crohn_myeloid|complement_phagocytosis:0.417,p=0.01;ibd_crohn_myeloid|complement_effector:0.356,p=0.015;ibd_uc_myeloid|lipid_loader_repair:0.552,p=0.016	2
IGHG1	top_rank	21.961770377532584	3.0	0.0	False			False	5	2	0	4	2	0	0	0	0		ibd_uc_epithelial:1.11,p=0.0058;ibd_crohn_myeloid:1.39,p=0.013;ibd_uc_stromal:2.23,p=0.017;ibd_crohn_stromal:1.19,p=0.022;ibd_uc_myeloid:2.36,p=0.046	ibd_uc_epithelial|complement_phagocytosis:1.16,p=7.7e-07;ibd_uc_epithelial|lysosomal_apc:1.14,p=0.00065;ibd_crohn_stromal|complement_effector:1.25,p=0.01;ibd_uc_epithelial|lipid_loader_repair:0.815,p=0.015;ibd_uc_epithelial|core_lysosomal_lipid:0.814,p=0.015;ibd_crohn_myeloid|hla_ii_apc:1.35,p=0.015;ibd_uc_stromal|ifn_apc:2.19,p=0.016;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.13,p=0.016	2
GBP1	top_rank	18.02677203578392	3.0	0.0	False	0.491428502182563	0.0681848307220474	False	3	2	0	3	2	0	0	0	0		ibd_crohn_myeloid:2,p=0.0019;ibd_uc_myeloid:1.44,p=0.01;ibd_crohn_epithelial:0.211,p=0.02	ibd_crohn_myeloid|hla_ii_apc:1.8,p=0.0008;ibd_crohn_myeloid|complement_effector:1.7,p=0.0018;ibd_crohn_myeloid|lipid_loader_repair:1.88,p=0.003;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.87,p=0.0033;ibd_crohn_myeloid|core_lysosomal_lipid:1.45,p=0.0055;ibd_crohn_myeloid|complement_phagocytosis:1.72,p=0.0056;ibd_crohn_myeloid|mif_cd74_receptor_state:1.44,p=0.0064;ibd_crohn_myeloid|lysosomal_apc:1.45,p=0.0086	2
APOL2	top_rank	18.0	3.0	0.0	False	0.0526970147160295	0.8423386834029525	False	4	2	0	3	2	0	0	0	0		ibd_uc_epithelial:0.554,p=0.00024;ibd_crohn_epithelial:0.301,p=0.0052;ibd_uc_myeloid:0.356,p=0.024;ibd_crohn_myeloid:0.492,p=0.039	ibd_uc_epithelial|complement_phagocytosis:0.556,p=0.00019;ibd_uc_epithelial|lysosomal_apc:0.553,p=0.00023;ibd_uc_epithelial|lipid_loader_repair:0.47,p=0.0019;ibd_uc_epithelial|core_lysosomal_lipid:0.428,p=0.002;ibd_crohn_epithelial|lysosomal_apc:0.254,p=0.0038;ibd_crohn_epithelial|complement_phagocytosis:0.268,p=0.0071;ibd_uc_epithelial|mixscale_validated_ifng_readout:0.398,p=0.01;ibd_uc_epithelial|complement_effector:0.384,p=0.02	2
GK	top_rank	18.0	3.0	0.0	False	-0.1519171449095147	0.7037368807224423	False	3	2	0	3	2	0	0	0	0		ibd_uc_myeloid:2.15,p=0.004;ibd_crohn_myeloid:1.7,p=0.0071;ibd_uc_stromal:0.327,p=0.038	ibd_crohn_myeloid|hla_ii_apc:1.81,p=0.00061;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.39,p=0.0045;ibd_uc_myeloid|hla_ii_apc:1.74,p=0.0084;ibd_crohn_myeloid|mif_cd74_receptor_state:1.67,p=0.009;ibd_crohn_myeloid|complement_effector:1.66,p=0.0095;ibd_crohn_myeloid|lipid_loader_repair:1.4,p=0.01;ibd_uc_myeloid|c1q_phagocytic_myeloid:1.59,p=0.01;ibd_uc_myeloid|lipid_loader_repair:1.3,p=0.012	2
ANKRD22	top_rank	17.0	3.0	0.0	False	-0.7737169650800544	0.2011683760150545	False	3	2	0	3	2	0	0	0	0		ibd_uc_myeloid:1.36,p=0.00073;ibd_crohn_myeloid:1.7,p=0.0087;ibd_uc_epithelial:0.227,p=0.013	ibd_uc_myeloid|hla_ii_apc:1.1,p=0.0015;ibd_uc_myeloid|c1q_phagocytic_myeloid:1.03,p=0.0028;ibd_uc_myeloid|lipid_loader_repair:0.908,p=0.0032;ibd_crohn_myeloid|hla_ii_apc:1.53,p=0.0072;ibd_crohn_myeloid|complement_effector:1.39,p=0.0089;ibd_uc_epithelial|complement_phagocytosis:0.22,p=0.011;ibd_uc_myeloid|complement_phagocytosis:0.858,p=0.011;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.53,p=0.012	2
TNFAIP6	top_rank	17.0	3.0	0.0	False	-0.6980912191112327	0.5494413787465382	False	2	2	0	2	2	0	0	0	0		ibd_uc_myeloid:4.75,p=0.0034;ibd_crohn_myeloid:5.73,p=0.024	ibd_crohn_myeloid|hla_ii_apc:6.39,p=0.00093;ibd_uc_myeloid|hla_ii_apc:3.94,p=0.0064;ibd_uc_myeloid|c1q_phagocytic_myeloid:3.45,p=0.008;ibd_uc_myeloid|lipid_loader_repair:3.05,p=0.01;ibd_crohn_myeloid|mif_cd74_receptor_state:6.11,p=0.013;ibd_crohn_myeloid|complement_effector:6.01,p=0.015;ibd_crohn_myeloid|core_lysosomal_lipid:4.95,p=0.023;ibd_crohn_myeloid|c1q_phagocytic_myeloid:4.46,p=0.023	2
FBXO6	top_rank	17.0	3.0	0.0	False	-0.3268818328465048	0.467803580504313	False	2	2	0	2	2	0	0	0	0		ibd_uc_myeloid:0.348,p=0.0032;ibd_crohn_myeloid:0.425,p=0.018	ibd_crohn_myeloid|hla_ii_apc:0.356,p=0.0079;ibd_uc_myeloid|hla_ii_apc:0.263,p=0.0095;ibd_uc_myeloid|lipid_loader_repair:0.272,p=0.013;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.277,p=0.014;ibd_crohn_myeloid|complement_effector:0.321,p=0.02;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.417,p=0.021;ibd_crohn_myeloid|lipid_loader_repair:0.403,p=0.023;ibd_crohn_myeloid|complement_phagocytosis:0.398,p=0.028	2
CD44	lipid_lysosomal_two_disease	15.286751023530666	2.0	1.0	True	1.3446537852001974	0.0331669831445104	True	2	2	1	2	2	0	0	0	0		ibd_crohn_epithelial:0.311,p=0.01;ibd_uc_epithelial:0.528,p=0.044	ibd_crohn_epithelial|lysosomal_apc:0.272,p=0.013;ibd_crohn_epithelial|complement_phagocytosis:0.278,p=0.019;ibd_uc_epithelial|core_lysosomal_lipid:0.569,p=0.027;ibd_uc_epithelial|lipid_loader_repair:0.565,p=0.028;ibd_uc_epithelial|complement_phagocytosis:0.539,p=0.035;ibd_uc_epithelial|lysosomal_apc:0.525,p=0.045	2
NAMPT	mechanistic_scout	16.367555341381692	2.0	0.0	False	-0.2143688948990014	0.5434156214094958	False	4	2	0	4	2	0	0	0	0		ibd_crohn_epithelial:0.321,p=0.0039;ibd_uc_myeloid:1.17,p=0.0056;ibd_uc_epithelial:0.522,p=0.027;ibd_crohn_myeloid:0.958,p=0.03	ibd_uc_epithelial|complement_phagocytosis:0.488,p=0.0019;ibd_crohn_myeloid|hla_ii_apc:1.07,p=0.0031;ibd_crohn_epithelial|lysosomal_apc:0.25,p=0.0037;ibd_crohn_epithelial|complement_phagocytosis:0.299,p=0.0054;ibd_uc_myeloid|hla_ii_apc:1.02,p=0.016;ibd_uc_epithelial|lysosomal_apc:0.496,p=0.02;ibd_crohn_myeloid|mif_cd74_receptor_state:0.995,p=0.022;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.863,p=0.027	2
JAK1	mechanistic_scout	5.0	2.0	2.0	False	0.2576120813511604	0.060997046211002	False	3	2	0	3	2	0	0	0	0		ibd_uc_myeloid:0.574,p=0.00038;ibd_uc_epithelial:0.329,p=0.019;ibd_crohn_myeloid:0.285,p=0.031	ibd_uc_myeloid|c1q_phagocytic_myeloid:0.491,p=0.0032;ibd_uc_myeloid|hla_ii_apc:0.435,p=0.0036;ibd_uc_myeloid|lipid_loader_repair:0.391,p=0.0083;ibd_uc_epithelial|lipid_loader_repair:0.352,p=0.0086;ibd_uc_epithelial|complement_phagocytosis:0.319,p=0.016;ibd_uc_epithelial|lysosomal_apc:0.315,p=0.017;ibd_uc_myeloid|complement_phagocytosis:0.4,p=0.017;ibd_uc_epithelial|core_lysosomal_lipid:0.31,p=0.019	2
OSM	mechanistic_scout	0.5	0.0	0.0	False	0.0762340874548801	0.8590024396793193	False	2	2	0	2	2	0	0	0	0		ibd_uc_myeloid:0.826,p=0.036;ibd_crohn_myeloid:0.494,p=0.038	ibd_crohn_myeloid|hla_ii_apc:0.573,p=0.0012;ibd_crohn_myeloid|mif_cd74_receptor_state:0.575,p=0.0092;ibd_crohn_myeloid|complement_effector:0.54,p=0.017;ibd_crohn_myeloid|core_lysosomal_lipid:0.448,p=0.027;ibd_uc_myeloid|hla_ii_apc:0.819,p=0.037	2
IFI30	lipid_lysosomal_two_disease;mechanistic_scout	16.07544952897825	3.0	0.0	False	0.21016237009791	0.379946954952182	True	1	1	0	1	1	0	0	0	0		ibd_uc_myeloid:0.765,p=0.036	ibd_uc_myeloid|c1q_phagocytic_myeloid:0.764,p=0.037	2
ACSL4	lipid_lysosomal_two_disease;mechanistic_scout	13.0	3.0	0.0	False	0.2015981425120099	0.4425443131425552	True	1	1	0	1	1	0	0	0	0		ibd_uc_stromal:0.613,p=0.012	ibd_uc_stromal|complement_effector:0.624,p=0.0012;ibd_uc_stromal|ifn_apc:0.592,p=0.0082;ibd_uc_stromal|hla_ii_apc:0.623,p=0.01;ibd_uc_stromal|lysosomal_apc:0.621,p=0.011;ibd_uc_stromal|inflammatory_nfkb:0.566,p=0.025;ibd_uc_stromal|core_lysosomal_lipid:0.461,p=0.041	2
LAMP3	lipid_lysosomal_two_disease;mechanistic_scout	10.0	2.0	1.0	False	1.112744457164954	0.1588852707263668	True	1	1	0	1	1	0	0	0	0		ibd_crohn_myeloid:0.751,p=0.014	ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.612,p=0.013;ibd_crohn_myeloid|hla_ii_apc:0.719,p=0.017;ibd_crohn_myeloid|lipid_loader_repair:0.717,p=0.018;ibd_crohn_myeloid|complement_effector:0.653,p=0.02;ibd_crohn_myeloid|complement_phagocytosis:0.535,p=0.026;ibd_crohn_myeloid|core_lysosomal_lipid:0.525,p=0.028;ibd_crohn_myeloid|mif_cd74_receptor_state:0.608,p=0.035;ibd_crohn_myeloid|lysosomal_apc:0.521,p=0.042	2
MARCO	lipid_lysosomal_two_disease;mechanistic_scout	9.7598700057563	2.0	0.0	False	-2.5362846413133395	0.0907982255292643	True	1	1	0	1	1	0	0	0	0		ibd_crohn_myeloid:1.03,p=0.012	ibd_crohn_myeloid|hla_ii_apc:1.05,p=0.0092;ibd_crohn_myeloid|lipid_loader_repair:0.821,p=0.014;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.881,p=0.015;ibd_crohn_myeloid|complement_effector:0.935,p=0.02;ibd_crohn_myeloid|core_lysosomal_lipid:0.763,p=0.024;ibd_crohn_myeloid|complement_phagocytosis:0.783,p=0.026;ibd_crohn_myeloid|mif_cd74_receptor_state:0.902,p=0.027;ibd_crohn_myeloid|lysosomal_apc:0.768,p=0.04	2
PTGS2	lipid_lysosomal_two_disease	9.0	2.0	0.0	False	-0.3302668666926305	0.2953446140272054	True	1	1	0	1	1	0	0	0	0		ibd_crohn_myeloid:0.302,p=0.048	ibd_crohn_myeloid|hla_ii_apc:0.337,p=0.012;ibd_crohn_myeloid|mif_cd74_receptor_state:0.313,p=0.038	2
TYROBP	mechanistic_scout	1.0	1.0	1.0	False	0.1685367778685798	0.2296542729530867	True	1	1	0	1	1	0	0	0	0		ibd_uc_myeloid:0.399,p=0.0041	ibd_uc_myeloid|c1q_phagocytic_myeloid:0.374,p=0.0097;ibd_uc_myeloid|hla_ii_apc:0.274,p=0.024;ibd_uc_myeloid|lipid_loader_repair:0.301,p=0.028;ibd_uc_myeloid|complement_phagocytosis:0.316,p=0.035	2
NCK1	ms_positive_three_disease;top_rank	23.05457839834523	3.0	0.0	True	0.4449989986308154	0.0055557148533128	False	1	1	0	0	0	0	0	0	0		ibd_crohn_stromal:0.203,p=0.046		2
TNFAIP8L1	four_disease_low_contradiction;mechanistic_scout;ms_positive_three_disease;top_rank	23.0	4.0	0.0	True	0.4563149724166724	0.0085624242089706	False	0	0	0	0	0	0	0	0	0				2
PPIL3	ms_positive_three_disease;top_rank	21.064689260983073	3.0	0.0	True	0.6072339458133413	0.0182948169279802	False	0	0	0	0	0	0	0	0	0				2
PLEK2	ms_positive_three_disease;top_rank	20.0	3.0	0.0	True	3.0459958234208124	0.0073786076112192	False	0	0	0	0	0	0	0	0	0				2
